location,animal,user,sn,an,datatype,start,end,startreason,endreason,entct,inact,inadur,inadist,smlct,smldur,smldist,larct,lardur,lardist,emptyct,emptydur,stdate,sttime
c001,A01,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c001,A01,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c002,A02,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c002,A02,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c003,A03,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c003,A03,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c004,A04,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c004,A04,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c005,A05,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c005,A05,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c006,A06,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c006,A06,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c007,A07,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c007,A07,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c008,A08,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c008,A08,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c009,A09,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c009,A09,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c010,A10,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c010,A10,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c011,A11,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c011,A11,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c012,A12,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c012,A12,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c013,B01,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c013,B01,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c014,B02,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c014,B02,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c015,B03,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c015,B03,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c016,B04,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c016,B04,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c017,B05,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c017,B05,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c018,B06,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c018,B06,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c019,B07,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c019,B07,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c020,B08,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c020,B08,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c021,B09,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c021,B09,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c022,B10,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c022,B10,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c023,B11,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c023,B11,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c024,B12,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c024,B12,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c025,C01,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c025,C01,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c026,C02,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c026,C02,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c027,C03,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c027,C03,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c028,C04,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c028,C04,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c029,C05,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,1,2,0.5,0,2,0.5,0.9,0,0,0,0,0,8/2/2018,14:04:54
c029,C05,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,1,2,0.5,0,2,0.5,0.9,0,0,0,0,0,8/2/2018,14:04:54
c030,C06,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c030,C06,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c031,C07,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c031,C07,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c032,C08,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c032,C08,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c033,C09,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,1,1,0.1,0,2,0.9,1.6,0,0,0,0,0,8/2/2018,14:04:54
c033,C09,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,1,1,0.1,0,2,0.9,1.6,0,0,0,0,0,8/2/2018,14:04:54
c034,C10,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c034,C10,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c035,C11,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c035,C11,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c036,C12,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c036,C12,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c037,D01,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c037,D01,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c038,D02,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c038,D02,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c039,D03,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c039,D03,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c040,D04,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c040,D04,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c041,D05,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c041,D05,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c042,D06,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c042,D06,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c043,D07,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c043,D07,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c044,D08,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c044,D08,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c045,D09,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c045,D09,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c046,D10,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c046,D10,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c047,D11,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c047,D11,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c048,D12,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c048,D12,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c049,E01,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c049,E01,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c050,E02,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
